"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","residuals","resnorm","ag","bg","cg","mean","stdev","field_x","field_y","C1","C2","CV","upper","lower","ag_range","bg_range","cg_range",
4818394.6172,-8151629.9976,1.0672,-0.26681,-0.26681,1.3058,5.8769,6.4095e-14,-5,1.0906e-14,3.0815e-13,0.0018592,0.036417,3.7401,0.52787,39.2628,35.2149,-5,0,0.35,0.39023,0.8969,0.030147,0.042688,0.030147,3.6574,0.57152,
742579.6184,-8151629.9976,10.2662,-2.8334,-3.1002,22.2018,5.8769,6.4095e-14,-4.5,,3.0815e-13,,,,,,,-4.5,0,,,,3.6574,3.8228,0.042688,3.7719,0.48504,
114441.9155,-1256275.4058,10.1516,-5.1045,-8.2046,3657.8476,920.0123,1.0034e-11,-4,,3.6862e-11,,,,,,,-4,0,,,,0.47659,0.57915,0.032854,3.6574,0.55806,
17637.4791,-193608.8728,9.9927,-5.0361,-13.2407,562821.4177,141619.8163,1.5445e-09,-3.5,,4.3631e-09,,,,,,,-3.5,0,,,,,,0.038871,3.8228,0.49483,
2718.6184,-29837.7214,9.7573,-4.9375,-18.1782,78470150.3002,19758242.9295,2.1549e-07,-3,,4.6799e-07,,,,,,,-3,0,,,,,,0.041794,3.7816,0.47659,
419.422,-4598.3927,9.3689,-4.7816,-22.9598,9360704312.1385,2359793615.6097,2.5736e-05,-2.5,,4.2924e-05,,,,,,,-2.5,0,,,,,,0.031225,3.6574,0.57915,
65.0851,-708.6739,8.601,-4.4925,-27.4523,836322738733.953,211420860761.5229,0.0023058,-2,,0.001684,,,,,,,-2,0.0012531,,,,,,,,,
10.477,-109.2161,6.5809,-3.7955,-31.2478,37216195757842.29,9513129624144.061,0.10375,-1.5,,0.01553,,,,,,,-1.5,0.08396,,,,,,,,,
2.0612,-16.8317,-4.6307,-0.48756,-31.7353,60600339678661.05,24454133859125.84,0.2667,-1,,-0.031509,,,,,,,-1,0.29073,,,,,,,,,
0.76417,-2.594,1.402,0.80716,-30.9282,27035121859619.49,21908865384570.13,0.23894,-0.5,,0.0045963,,,,,,,-0.5,0.23183,,,,,,,,,
0.56429,-0.39977,-1.4977,0.023914,-30.9042,26396280116550.22,13357850494042.43,0.14568,0,,-0.0072783,,,,,,,0,0.14536,,,,,,,,,
0.53348,-0.06161,-1.4887,0.74659,-30.1577,12511260414446.35,9726885132749.141,0.10608,0.5,,-0.0091242,,,,,,,0.5,0.10777,,,,,,,,,
0.52874,-0.0094949,-1.1861,0.66871,-29.4889,6410402197627.346,4730415653018.424,0.051591,1,,-0.014634,,,,,,,1,0.068922,,,,,,,,,
0.52801,-0.0014633,-0.95294,0.53477,-28.9542,3755256265858.553,2541414615871.475,0.027717,1.5,,0.0052592,,,,,,,1.5,0.027569,,,,,,,,,
0.52789,-0.00022551,-0.79069,0.43591,-28.5183,2428443555752.604,1545924955402.789,0.01686,2,,0.0056676,,,,,,,2,0.016291,,,,,,,,,
0.52788,-3.4754e-05,-0.67465,0.36633,-28.1519,1683570650226.273,1028003551494.719,0.011212,2.5,,-0.00051122,,,,,,,2.5,0.016291,,,,,,,,,
0.52787,-5.3561e-06,-0.58814,0.3157,-27.8362,1227795050998.729,727841425306.2502,0.007938,3,,0.0069147,,,,,,,3,0.0050125,,,,,,,,,
0.52787,-8.2545e-07,-0.52127,0.27735,-27.5589,930408319471.2131,539550842617.4854,0.0058845,3.5,,0.0055969,,,,,,,3.5,0.0037594,,,,,,,,,
0.52787,-1.2721e-07,-0.46804,0.24733,-27.3116,726541652881.4679,414237493088.1703,0.0045178,4,,0.0075505,,,,,,,4,0,,,,,,,,,
0.52787,-1.9605e-08,-0.42468,0.22318,-27.0884,581211270233.8607,326938230778.8322,0.0035657,4.5,,0.0062311,,,,,,,4.5,0,,,,,,,,,
0.52787,-3.0214e-09,-0.38867,0.20334,-26.885,474269425584.7737,263870173954.6586,0.0028778,5,,0.003983,,,,,,,5,0.0012531,,,,,,,,,
0.52787,-4.6564e-10,-0.35829,0.18674,-26.6983,393481470166.5917,216937723937.8414,0.002366,5.5,,,,,,,,,,,,,,,,,,,
0.52787,-7.1762e-11,-0.33232,0.17265,-26.5256,331086962044.0706,181142108052.6656,0.0019756,6,,,,,,,,,,,,,,,,,,,

