
metadata
ID,name,desc,time,keywords,minlat,minlon,maxlat,maxlon,
1,,,2016-04-26T18:24:11Z,,33.295148983597755,-116.193072991445661,33.322717985138297,-116.177286012098193,

author
ID,name,email,

copyright
year,license,author,

link
metadataID,authorID,wptID,rteptID,trkptID,rteID,trkID,text,type,href,
1,,,,,,,"Garmin International",,http://www.garmin.com,

rte
ID,name,cmt,desc,src,number,type,IsAutoNamed,DisplayColor,TransportationMode,TripName,Date,DayNumber,

rtept
ID,rteID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,DepartureTime,StopDuration,ArrivalTime,CalculationMode,ElevationMode,NamedRoad_Name,NamedRoad_Id,NamedRoad_ProductId,TransportationMode,

wpt
ID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime,
27,33.302589012309909,-116.18288897909224,303.732452000000023,2015-10-22T21:11:42Z,,,"SR1B-5",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-22T21:11:42Z,
28,33.300837026908994,-116.182205015793443,286.712982000000011,2015-10-22T21:46:15Z,,,"SR1B-6",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-22T21:46:15Z,
29,33.308363975957036,-116.190769979730248,335.562927000000002,2015-10-21T16:00:42Z,,,"SR1C-1",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-21T16:00:42Z,
30,33.308021994307637,-116.191454026848078,315.455626999999993,2015-10-22T00:15:14Z,,,"SR1C-10",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-22T00:15:14Z,
31,33.29936801455915,-116.1907500308007,286.486237000000017,2015-10-23T16:11:41Z,,,"SR1C-11",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-23T16:11:41Z,
32,33.300149962306023,-116.190231023356318,291.512268000000006,2015-10-23T16:31:38Z,,,"SR1C-12",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-23T16:31:38Z,
33,33.300969963893294,-116.189810000360012,291.438811999999984,2015-10-23T16:55:14Z,,,"SR1C-13",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-23T16:55:14Z,
34,33.301808992400765,-116.189229972660542,298.580750000000023,2015-10-23T17:29:42Z,,,"SR1C-14",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-23T17:29:42Z,
35,33.302712980657816,-116.189069040119648,302.683562999999992,2015-10-23T17:58:56Z,,,"SR1C-15",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-23T17:58:56Z,
36,33.303616968914866,-116.188652962446213,310.208954000000006,2015-10-23T18:37:58Z,,,"SR1C-16",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-23T18:37:58Z,
37,33.304644003510475,-116.188545003533363,314.640990999999985,2015-10-23T19:35:33Z,,,"SR1C-17",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-23T19:35:33Z,
38,33.30555897206068,-116.188260018825531,320.31454500000001,2015-10-23T20:35:08Z,,,"SR1C-18",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-23T20:35:08Z,
39,33.306278977543116,-116.187515035271645,328.824096999999995,2015-10-23T21:08:40Z,,,"SR1C-19",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-23T21:08:40Z,
40,33.308970993384719,-116.190004041418433,338.320129000000009,2015-10-21T16:41:23Z,,,"SR1C-2",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-21T16:41:23Z,
41,33.307054974138737,-116.186837023124099,338.277648999999997,2015-10-23T21:45:05Z,,,"SR1C-20",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-23T21:45:05Z,
42,33.309464016929269,-116.189058981835842,341.785125999999991,2015-10-21T17:08:06Z,,,"SR1C-3",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-21T17:08:06Z,
43,33.310038009658456,-116.188196986913681,354.433227999999986,2015-10-21T17:37:11Z,,,"SR1C-4",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-21T17:37:11Z,
44,33.310402035713196,-116.187166012823582,357.732665999999995,2015-10-21T18:06:30Z,,,"SR1C-5",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-21T18:06:30Z,
45,33.310820963233709,-116.186160016804934,362.577179000000001,2015-10-21T19:02:33Z,,,"SR1C-6",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-21T19:02:33Z,
46,33.311448013409972,-116.1853570304811,369.216431,2015-10-21T19:35:05Z,,,"SR1C-7",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-21T19:35:05Z,
47,33.311941036954522,-116.184408031404018,376.807251000000008,2015-10-21T20:29:40Z,,,"SR1C-8",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-21T20:29:40Z,
48,33.312241025269032,-116.183738987892866,377.573212000000012,2015-10-21T20:58:29Z,,,"SR1C-9",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-21T20:58:29Z,
49,33.312341021373868,-116.184223964810371,390.867096000000004,2015-10-21T21:39:04Z,,,"SR1D-1",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-21T21:39:04Z,
50,33.306942991912365,-116.184522025287151,349.976440000000025,2015-10-22T17:22:19Z,,,"SR1D-10",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-22T17:22:19Z,
51,33.306263973936439,-116.18408901616931,347.108703999999989,2015-10-22T17:42:37Z,,,"SR1D-11",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-22T17:42:37Z,
52,33.312362981960177,-116.185312019661069,389.425322999999992,2015-10-21T22:03:08Z,,,"SR1D-2",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-21T22:03:08Z,
53,33.311991998925805,-116.186298988759518,377.549164000000019,2015-10-21T22:27:48Z,,,"SR1D-3",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-21T22:27:48Z,
54,33.31260496750474,-116.186225982382894,375.190979000000027,2015-10-21T23:07:04Z,,,"SR1D-4",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-21T23:07:04Z,
55,33.31236801110208,-116.186885973438621,372.164184999999975,2015-10-21T23:23:44Z,,,"SR1D-5",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-21T23:23:44Z,
56,33.311834000051022,-116.187650989741087,359.423676,2015-10-21T23:40:53Z,,,"SR1D-6",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-21T23:40:53Z,
57,33.308447962626815,-116.184109970927238,368.788361000000009,2015-10-22T16:36:54Z,,,"SR1D-7",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-22T16:36:54Z,
58,33.307998022064567,-116.184271993115544,364.10635400000001,2015-10-22T16:39:03Z,,,"SR1D-8",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-22T16:39:03Z,
59,33.307499969378114,-116.184280039742589,358.230620999999985,2015-10-22T16:55:48Z,,,"SR1D-9",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-22T16:55:48Z,
60,33.316471036523581,-116.177530009299517,468.819884999999999,2015-10-20T17:45:45Z,,,"SR1E-1",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-20T17:45:45Z,
61,33.321602018550038,-116.187628023326397,448.598235999999986,2015-10-23T22:50:22Z,,,"SR2-apex",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-23T22:50:22Z,
62,33.321361960843205,-116.18808701634407,438.739959999999996,2015-10-23T23:22:24Z,,,"SR2-P1",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-23T23:22:24Z,
63,33.322717985138297,-116.187068028375506,439.187836000000004,2015-10-23T22:55:07Z,,,"SR2A-1",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-23T22:55:07Z,
64,33.319461029022932,-116.188325984403491,422.608458999999982,2015-10-23T23:42:11Z,,,"SR2X-1",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-23T23:42:11Z,
65,33.317831000313163,-116.18896896019578,407.178069999999991,2015-10-23T23:46:19Z,,,"SR2X-2",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-23T23:46:19Z,
66,33.316173981875181,-116.190113006159663,391.579101999999978,2015-10-23T23:56:42Z,,,"SR2X-3",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-23T23:56:42Z,
67,33.314363993704319,-116.190698985010386,371.075867000000017,2015-10-24T00:08:40Z,,,"SR2X-4",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-24T00:08:40Z,
68,33.312719967216253,-116.191768012940884,351.228699000000006,2015-10-24T00:20:08Z,,,"SR2X-5",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-24T00:20:08Z,
69,33.311412977054715,-116.193072991445661,331.757476999999994,2015-10-24T00:29:41Z,,,"SR2X-6",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2015-10-24T00:29:41Z,

Address
wptID,StreetAddress1,StreetAddress2,City,State,Country,PostalCode,

PhoneNumber
wptID,Category,value,

Categories
wptID,Category,

trk
ID,name,cmt,desc,src,number,type,DisplayColor,

trkseg
ID,trkID,

trkpt
ID,trksegID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Temperature,Depth,wtemp,hr,cad,
