"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","residuals","resnorm","ag","bg","cg","mean","stdev","field_x","field_y","C1","C2","CV","upper","lower","ag_range","bg_range","cg_range",
147.642,-140.5636,0.78947,-0.19737,-0.19737,1.2182,0.86278,0.00096671,-5,0.0011205,0.00038162,0.0050887,0.22838,1.2941,0.12197,51.3523,34.5558,-5,0,0.95,1.4118,0.67292,0.12659,0.33018,0.12659,1.5337,0.25531,
77.3602,-140.5636,1.6343,-0.60594,-0.80331,2.2329,0.86278,0.00096671,-4.5,,0.00038162,,,,,,,-4.5,0,,,,1.0545,1.5338,0.33018,1.1289,-0.0035158,
40.5622,-73.596,1.6067,-0.81026,-1.6136,5.0207,1.8134,0.0020319,-4,,0.00093267,,,,,,,-4,0,,,,-0.011375,0.25531,0.33016,1.0545,0.014846,
21.2956,-38.5333,1.5707,-0.79435,-2.4079,11.1109,4.0329,0.0045187,-3.5,,0.0024357,,,,,,,-3.5,0,,,,,,0.14948,1.5338,0.22011,
11.208,-20.1752,1.5228,-0.77337,-3.1813,24.0781,8.7972,0.009857,-3,,0.006209,,,,,,,-3,0,,,,,,0.14006,1.5338,-0.011375,
5.9264,-10.5633,1.4601,-0.74575,-3.927,50.7569,18.7087,0.020962,-2.5,,0.015287,,,,,,,-2.5,0,,,,,,0.13931,1.4605,0.25531,
3.161,-5.5307,1.3848,-0.71123,-4.6383,103.3657,38.5307,0.043172,-2,,0.020495,,,,,,,-2,0.015363,,,,,,,,,
1.7132,-2.8958,1.3338,-0.67964,-5.3179,203.9571,76.8307,0.086086,-1.5,,-0.045514,,,,,,,-1.5,0.125,,,,,,,,,
0.95508,-1.5162,1.6893,-0.75578,-6.0737,434.28,159.5593,0.17878,-1,,-0.022824,,,,,,,-1,0.20391,,,,,,,,,
0.55817,-0.79382,-1.8204,0.032778,-6.0409,420.2759,213.639,0.23937,-0.5,,0.020938,,,,,,,-0.5,0.21997,,,,,,,,,
0.35035,-0.41563,-0.76555,0.6465,-5.3944,220.1731,160.1122,0.1794,0,,-0.013754,,,,,,,0,0.18017,,,,,,,,,
0.24154,-0.21761,-0.99536,0.44023,-4.9542,141.7671,90.485,0.10138,0.5,,-0.027426,,,,,,,0.5,0.11383,,,,,,,,,
0.18457,-0.11394,-1.2533,0.56216,-4.392,80.8041,55.6428,0.062346,1,,-0.0085504,,,,,,,1,0.065642,,,,,,,,,
0.15475,-0.059655,-1.3951,0.66208,-3.7299,41.6768,30.6202,0.034309,1.5,,0.0054401,,,,,,,1.5,0.032821,,,,,,,,,
0.13913,-0.031234,-1.4152,0.70257,-3.0274,20.6429,15.5799,0.017457,2,,0.0059825,,,,,,,2,0.020251,,,,,,,,,
0.13095,-0.016354,-1.3566,0.69296,-2.3344,10.3234,7.7416,0.0086741,2.5,,0.0095226,,,,,,,2.5,0.0090782,,,,,,,,,
0.12667,-0.0085624,-1.262,0.65466,-1.6798,5.3642,3.9219,0.0043943,3,,0.0080841,,,,,,,3,0.0055866,,,,,,,,,
0.12443,-0.0044831,-1.1584,0.6051,-1.0746,2.929,2.0733,0.002323,3.5,,0.0054994,,,,,,,3.5,0.0048883,,,,,,,,,
0.12326,-0.0023472,-1.0592,0.5544,-0.52025,1.6825,1.1529,0.0012917,4,,0.0046337,,,,,,,4,0.0034916,,,,,,,,,
0.12264,-0.001229,-0.96955,0.50718,-0.013068,1.0132,0.6739,0.00075508,4.5,,0.0065137,,,,,,,4.5,0,,,,,,,,,
0.12232,-0.00064346,-0.89065,0.46505,0.45198,0.63636,0.41238,0.00046206,5,,0.0053309,,,,,,,5,0,,,,,,,,,
0.12215,-0.0003369,-0.82188,0.42813,0.88012,0.41473,0.26277,0.00029443,5.5,,,,,,,,,,,,,,,,,,,
0.12206,-0.00017639,-0.76203,0.39598,1.2761,0.27912,0.17346,0.00019436,6,,,,,,,,,,,,,,,,,,,

