"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","residuals","resnorm","ag","bg","cg","mean","stdev","field_x","field_y","C1","C2","CV","upper","lower","ag_range","bg_range","cg_range",
150.9485,-142.9134,0.78425,-0.19606,-0.19606,1.2166,0.85827,0.00099919,-5,0.0011642,0.00037567,0.0055651,0.24597,1.2838,0.10034,62.4464,41.9995,-5,0,0.95,1.4125,0.67257,0.13933,0.3526,0.13933,1.5276,0.23539,
79.4918,-142.9134,1.6152,-0.59986,-0.79592,2.2165,0.85827,0.00099919,-4.5,,0.00037567,,,,,,,-4.5,0,,,,1.0399,1.5276,0.3526,1.0847,-0.0078838,
41.8841,-75.2154,1.5881,-0.80083,-1.5968,4.937,1.7884,0.002082,-4,,0.00091422,,,,,,,-4,0,,,,-0.034712,0.23539,0.34933,1.0399,-0.00318,
22.0912,-39.5859,1.5529,-0.78525,-2.382,10.8265,3.9409,0.0045879,-3.5,,0.0023777,,,,,,,-3.5,0,,,,,,0.16454,1.5276,0.19715,
11.6741,-20.8341,1.5065,-0.76485,-3.1468,23.2625,8.5223,0.0099215,-3,,0.006041,,,,,,,-3,0,,,,,,0.30042,1.3362,-0.034712,
6.1916,-10.965,1.4461,-0.73815,-3.885,48.6667,17.9823,0.020935,-2.5,,0.014847,,,,,,,-2.5,0,,,,,,0.1534,1.4556,0.23539,
3.3062,-5.7709,1.3735,-0.70489,-4.5899,98.483,36.7874,0.042827,-2,,0.017704,,,,,,,-2,0.017137,,,,,,,,,
1.7876,-3.0372,1.3221,-0.67389,-5.2638,193.209,72.923,0.084896,-1.5,,-0.048075,,,,,,,-1.5,0.12548,,,,,,,,,
0.98833,-1.5985,1.6429,-0.74124,-6.005,405.4581,149.6668,0.17424,-1,,-0.021856,,,,,,,-1,0.19735,,,,,,,,,
0.56769,-0.84129,-1.6422,-0.00016632,-6.0052,405.5255,202.7459,0.23603,-0.5,,0.027854,,,,,,,-0.5,0.20951,,,,,,,,,
0.34631,-0.44277,-0.70842,0.58766,-5.4175,225.3204,157.7115,0.18361,0,,-0.027214,,,,,,,0,0.1979,,,,,,,,,
0.22979,-0.23303,-1.0096,0.42951,-4.988,146.6444,92.9912,0.10826,0.5,,-0.019554,,,,,,,0.5,0.11222,,,,,,,,,
0.16847,-0.12264,-1.3613,0.59272,-4.3953,81.0682,56.9281,0.066275,1,,-0.0013174,,,,,,,1,0.062465,,,,,,,,,
0.1362,-0.064547,-1.5928,0.73852,-3.6568,38.7359,29.951,0.034869,1.5,,0.0047689,,,,,,,1.5,0.035379,,,,,,,,,
0.11921,-0.033971,-1.6723,0.81628,-2.8405,17.1241,13.965,0.016258,2,,0.0062579,,,,,,,2,0.020453,,,,,,,,,
0.11027,-0.017879,-1.6384,0.82767,-2.0128,7.4844,6.1521,0.0071622,2.5,,0.0083756,,,,,,,2.5,0.0099502,,,,,,,,,
0.10556,-0.0094098,-1.5442,0.79565,-1.2172,3.3776,2.7155,0.0031613,3,,0.0080675,,,,,,,3,0.0049751,,,,,,,,,
0.10309,-0.0049524,-1.4282,0.74309,-0.47408,1.6065,1.246,0.0014506,3.5,,0.0057488,,,,,,,3.5,0.0038695,,,,,,,,,
0.10179,-0.0026064,-1.3115,0.68491,0.21083,0.80991,0.60411,0.0007033,4,,0.0051095,,,,,,,4,0.0022112,,,,,,,,,
0.1011,-0.0013718,-1.2034,0.62871,0.83953,0.43191,0.31046,0.00036143,4.5,,0.0046191,,,,,,,4.5,0.0011056,,,,,,,,,
0.10074,-0.00072196,-1.1069,0.57758,1.4171,0.24241,0.16858,0.00019626,5,,0.0045803,,,,,,,5,0,,,,,,,,,
0.10055,-0.00037997,-1.0222,0.53229,1.9494,0.14236,0.096193,0.00011199,5.5,,,,,,,,,,,,,,,,,,,
0.10045,-0.00019998,-0.94818,0.4926,2.442,0.086987,0.057337,6.675e-05,6,,,,,,,,,,,,,,,,,,,

