"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","residuals","resnorm","ag","bg","cg","mean","stdev","field_x","field_y","C1","C2","CV","upper","lower","ag_range","bg_range","cg_range",
81.1662,-72.8506,0.71339,-0.17835,-0.17835,1.1952,0.80839,0.0017279,-5,0.0021375,0.00055134,0.01373,0.20675,1.1942,0.14719,37.9652,28.5641,-5,0,0.95,1.2627,0.75237,0.034509,0.379,0.034509,1.5836,0.38011,
44.7409,-72.8506,1.4217,-0.53377,-0.71212,2.0383,0.80839,0.0017279,-4.5,,0.00055134,,,,,,,-4.5,0,,,,0.79961,1.5888,0.379,0.91589,-0.024283,
24.692,-40.0977,1.3899,-0.7029,-1.415,4.1166,1.5387,0.003289,-4,,0.0012722,,,,,,,-4,0,,,,-0.08573,0.38011,0.30934,0.79961,0.045446,
13.6569,-22.0702,1.3489,-0.68471,-2.0997,8.1639,3.0701,0.0065624,-3.5,,0.0031023,,,,,,,-3.5,0,,,,,,0.09598,1.5888,0.29307,
7.5831,-12.1477,1.296,-0.66124,-2.761,15.8151,5.9948,0.012814,-3,,0.0072789,,,,,,,-3,0,,,,,,0.054425,1.5888,-0.08573,
4.24,-6.6862,1.2306,-0.63167,-3.3926,29.7444,11.3899,0.024346,-2.5,,0.016163,,,,,,,-2.5,0,,,,,,0.060213,1.4231,0.38011,
2.3999,-3.6802,1.1632,-0.59846,-3.9911,54.1143,20.9647,0.044812,-2,,0.029355,,,,,,,-2,0.0041322,,,,,,,,,
1.3871,-2.0256,1.1647,-0.58196,-4.5731,96.84,37.7386,0.080667,-1.5,,-0.061702,,,,,,,-1.5,0.12758,,,,,,,,,
0.82965,-1.1149,2.0005,-0.79129,-5.3644,213.6525,77.6231,0.16592,-1,,-0.070181,,,,,,,-1,0.23244,,,,,,,,,
0.52283,-0.61366,-1.6903,-0.077539,-5.4419,230.878,111.1326,0.23755,-0.5,,0.040795,,,,,,,-0.5,0.1999,,,,,,,,,
0.35394,-0.33776,-0.96709,0.66436,-4.7775,118.8108,87.4222,0.18687,0,,-0.013566,,,,,,,0,0.1844,,,,,,,,,
0.26099,-0.18591,-1.0783,0.51135,-4.2662,71.2494,47.515,0.10156,0.5,,-0.02382,,,,,,,0.5,0.10382,,,,,,,,,
0.20983,-0.10233,-1.2143,0.57314,-3.693,40.1669,27.8541,0.059539,1,,-0.014059,,,,,,,1,0.067149,,,,,,,,,
0.18167,-0.056321,-1.2739,0.62203,-3.071,21.5637,15.4326,0.032988,1.5,,-0.0053148,,,,,,,1.5,0.043905,,,,,,,,,
0.16617,-0.031,-1.2573,0.6328,-2.4382,11.4525,8.254,0.017643,2,,0.013596,,,,,,,2,0.016012,,,,,,,,,
0.15764,-0.017063,-1.193,0.61259,-1.8256,6.2066,4.4148,0.0094367,2.5,,0.013814,,,,,,,2.5,0.009814,,,,,,,,,
0.15294,-0.0093914,-1.1076,0.57514,-1.2505,3.492,2.4247,0.0051828,3,,0.015822,,,,,,,3,0.0036157,,,,,,,,,
0.15035,-0.0051691,-1.0181,0.5314,-0.71908,2.0525,1.3861,0.0029629,3.5,,0.012763,,,,,,,3.5,0.0036157,,,,,,,,,
0.14893,-0.0028452,-0.9332,0.48782,-0.23126,1.2602,0.82818,0.0017703,4,,0.01252,,,,,,,4,0.0015496,,,,,,,,,
0.14815,-0.001566,-0.85643,0.44741,0.21614,0.80562,0.51645,0.0011039,4.5,,0.011243,,,,,,,4.5,0.0010331,,,,,,,,,
0.14772,-0.00086194,-0.78852,0.41124,0.62738,0.53399,0.3349,0.00071586,5,,0.0098169,,,,,,,5,0.0010331,,,,,,,,,
0.14748,-0.00047442,-0.72899,0.37938,1.0068,0.3654,0.22485,0.00048062,5.5,,,,,,,,,,,,,,,,,,,
0.14735,-0.00026113,-0.67692,0.35148,1.3582,0.25711,0.15563,0.00033266,6,,,,,,,,,,,,,,,,,,,

