"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","residuals","resnorm","ag","bg","cg","mean","stdev","field_x","field_y","C1","C2","CV","upper","lower","ag_range","bg_range","cg_range",
113.0204,-106.2543,0.76818,-0.19205,-0.19205,1.2117,0.84794,0.0011466,-5,0.0013522,0.00033648,0.010533,0.19463,1.2726,0.16178,57.018,40.3377,-5,0,0.95,1.3428,0.70745,0.044804,0.34446,0.044804,1.6347,0.3694,
59.8933,-106.2543,1.581,-0.58729,-0.77934,2.18,0.84794,0.0011466,-4.5,,0.00033648,,,,,,,-4.5,0,,,,0.91036,1.6347,0.34446,1.0499,-0.024876,
31.7752,-56.2361,1.5508,-0.78293,-1.5623,4.7696,1.7374,0.0023493,-4,,0.00085932,,,,,,,-4,0,,,,-0.045845,0.3694,0.34443,0.91036,-9.435e-05,
16.8935,-29.7635,1.5109,-0.76542,-2.3277,10.2543,3.756,0.0050788,-3.5,,0.0023413,,,,,,,-3.5,0,,,,,,0.084395,1.6347,0.31972,
9.0172,-15.7526,1.4581,-0.74227,-3.07,21.5413,7.9489,0.010748,-3,,0.0061612,,,,,,,-3,0,,,,,,0.24155,1.5066,-0.045845,
4.8486,-8.3372,1.3898,-0.71198,-3.7819,43.9014,16.3607,0.022123,-2.5,,0.015384,,,,,,,-2.5,0,,,,,,0.067092,1.5163,0.3694,
2.6423,-4.4125,1.3119,-0.6754,-4.4573,86.2586,32.54,0.044,-2,,0.033198,,,,,,,-2,0.0024969,,,,,,,,,
1.4746,-2.3354,1.2813,-0.64828,-5.1056,164.9487,62.8018,0.08492,-1.5,,-0.052392,,,,,,,-1.5,0.12921,,,,,,,,,
0.85661,-1.236,1.869,-0.78757,-5.8932,362.5658,131.8786,0.17833,-1,,-0.047614,,,,,,,-1,0.23034,,,,,,,,,
0.52953,-0.65418,-1.9539,0.02123,-5.872,354.9497,179.3789,0.24255,-0.5,,0.036714,,,,,,,-0.5,0.20849,,,,,,,,,
0.35641,-0.34623,-0.92935,0.72082,-5.1512,172.6313,131.8952,0.17835,0,,-0.018329,,,,,,,0,0.17728,,,,,,,,,
0.26479,-0.18324,-1.0204,0.48744,-4.6637,106.03,69.6653,0.094201,0.5,,-0.038057,,,,,,,0.5,0.11111,,,,,,,,,
0.2163,-0.096984,-1.1319,0.53806,-4.1257,61.9086,41.9847,0.056771,1,,-0.013372,,,,,,,1,0.062422,,,,,,,,,
0.19063,-0.05133,-1.163,0.57372,-3.5519,34.8809,24.1974,0.032719,1.5,,0.0058295,,,,,,,1.5,0.029963,,,,,,,,,
0.17705,-0.027167,-1.125,0.57201,-2.9799,19.6864,13.6418,0.018446,2,,1.9404e-05,,,,,,,2,0.027466,,,,,,,,,
0.16986,-0.014378,-1.05,0.54376,-2.4362,11.4291,7.7789,0.010519,2.5,,0.011326,,,,,,,2.5,0.010612,,,,,,,,,
0.16606,-0.0076098,-0.96291,0.50323,-1.9329,6.9097,4.5847,0.0061994,3,,0.013681,,,,,,,3,0.0043695,,,,,,,,,
0.16404,-0.0040276,-0.8774,0.46008,-1.4729,4.3616,2.8178,0.0038103,3.5,,0.012095,,,,,,,3.5,0.0031211,,,,,,,,,
0.16298,-0.0021316,-0.79938,0.41919,-1.0537,2.8681,1.8074,0.002444,4,,0.011206,,,,,,,4,0.0018727,,,,,,,,,
0.16241,-0.0011282,-0.73055,0.38248,-0.67118,1.9565,1.2062,0.001631,4.5,,0.010172,,,,,,,4.5,0.0012484,,,,,,,,,
0.16211,-0.0005971,-0.67068,0.35031,-0.32087,1.3783,0.83371,0.0011273,5,,0.010102,,,,,,,5,0,,,,,,,,,
0.16196,-0.00031602,-0.61882,0.32238,0.0015077,0.99849,0.5942,0.00080348,5.5,,,,,,,,,,,,,,,,,,,
0.16187,-0.00016726,-0.57382,0.29816,0.29967,0.74107,0.43489,0.00058805,6,,,,,,,,,,,,,,,,,,,

