"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","residuals","resnorm","ag","bg","cg","mean","stdev","field_x","field_y","C1","C2","CV","upper","lower","ag_range","bg_range","cg_range",
3037.1624,-3849.0515,0.84945,-0.21236,-0.21236,1.2366,1.1158,5.1111e-05,-5,4.5808e-05,2.9324e-05,0.0029339,0.1319,2.0089,0.41434,58.7309,42.0662,-5,0,0.4,0.55846,0.71625,0.088188,0.17561,0.088188,2.1062,0.50078,
1112.6366,-3849.0515,2.9866,-0.95901,-1.1714,3.2264,1.1158,5.1111e-05,-4.5,,2.9324e-05,,,,,,,-4.5,0,,,,1.8712,2.1465,0.17561,1.9205,0.3348,
407.7706,-1409.732,2.9132,-1.4749,-2.6463,14.102,4.3321,0.00019845,-4,,0.00012447,,,,,,,-4,0,,,,0.32671,0.50197,0.16397,1.8712,0.37166,
149.6104,-516.3205,2.8122,-1.4313,-4.0777,59.0069,18.2772,0.00083725,-3.5,,0.00057467,,,,,,,-3.5,0,,,,,,0.10374,2.1465,0.4574,
55.058,-189.1047,2.6648,-1.3692,-5.4469,232.0366,72.7609,0.0033331,-3,,0.0024978,,,,,,,-3,0,,,,,,0.17393,1.9428,0.32671,
20.4278,-69.2604,2.4358,-1.2751,-6.722,830.5098,265.6366,0.012168,-2.5,,0.0098996,,,,,,,-2.5,0,,,,,,0.091459,2.075,0.50197,
7.7444,-25.3669,2.0608,-1.1241,-7.8462,2555.9544,846.616,0.038782,-2,,0.022845,,,,,,,-2,0.010989,,,,,,,,,
3.099,-9.2907,1.4505,-0.87783,-8.724,6148.774,2176.1821,0.099688,-1.5,,-0.02805,,,,,,,-1.5,0.11978,,,,,,,,,
1.3976,-3.4028,0.63937,-0.52247,-9.2465,10368.0003,4129.1936,0.18915,-1,,-0.020831,,,,,,,-1,0.20989,,,,,,,,,
0.77447,-1.2463,-0.80206,0.040674,-9.2058,9954.7581,5080.6896,0.23274,-0.5,,0.0084683,,,,,,,-0.5,0.22637,,,,,,,,,
0.54624,-0.45646,-1.2411,0.51079,-8.695,5973.0547,3981.9532,0.18241,0,,-0.006064,,,,,,,0,0.17692,,,,,,,,,
0.46265,-0.16718,-1.3486,0.64743,-8.0476,3126.2387,2274.8234,0.10421,0.5,,-0.018674,,,,,,,0.5,0.11209,,,,,,,,,
0.43204,-0.06123,-1.2299,0.64462,-7.403,1640.8447,1191.7709,0.054593,1,,-0.017573,,,,,,,1,0.072527,,,,,,,,,
0.42082,-0.022426,-1.0587,0.57214,-6.8308,925.9547,641.6999,0.029395,1.5,,0.0016251,,,,,,,1.5,0.032967,,,,,,,,,
0.41672,-0.0082135,-0.90302,0.49043,-6.3404,567.021,373.2439,0.017098,2,,0.010245,,,,,,,2,0.013187,,,,,,,,,
0.41521,-0.0030082,-0.77688,0.41997,-5.9204,372.5687,234.8974,0.01076,2.5,,0.0058975,,,,,,,2.5,0.010989,,,,,,,,,
0.41466,-0.0011018,-0.67751,0.3636,-5.5568,258.9991,157.892,0.0072328,3,,0.0039813,,,,,,,3,0.0087912,,,,,,,,,
0.41446,-0.00040353,-0.59903,0.31913,-5.2377,188.2347,111.8085,0.0051218,3.5,,0.007829,,,,,,,3.5,0.0021978,,,,,,,,,
0.41439,-0.0001478,-0.5362,0.28381,-4.9539,141.7241,82.4897,0.0037787,4,,0.0070033,,,,,,,4,0.0010989,,,,,,,,,
0.41436,-5.4131e-05,-0.48505,0.25531,-4.6986,109.79,62.8785,0.0028804,4.5,,0.0045008,,,,,,,4.5,0.0021978,,,,,,,,,
0.41435,-1.9826e-05,-0.44271,0.23194,-4.4666,87.0627,49.2132,0.0022544,5,,0.0056416,,,,,,,5,0,,,,,,,,,
0.41435,-7.2612e-06,-0.40714,0.21246,-4.2542,70.3982,39.3652,0.0018033,5.5,,,,,,,,,,,,,,,,,,,
0.41434,-2.6595e-06,-0.37684,0.19599,-4.0582,57.8685,32.0667,0.0014689,6,,,,,,,,,,,,,,,,,,,

