"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","residuals","resnorm","ag","bg","cg","mean","stdev","field_x","field_y","C1","C2","CV","upper","lower","ag_range","bg_range","cg_range",
1918.0082,-2348.8025,0.829,-0.20725,-0.20725,1.2303,1.0529,0.00010537,-5,0.00010007,5.5098e-05,0.003147,0.14663,1.8957,0.41311,57.6246,39.3817,-5,0,0.4,0.58529,0.68342,0.096462,0.19679,0.096462,2.0177,0.50614,
743.607,-2348.8025,2.7116,-0.88515,-1.0924,2.9814,1.0529,0.00010537,-4.5,,5.5098e-05,,,,,,,-4.5,0,,,,1.7446,2.0469,0.19679,1.7938,0.3271,
288.4495,-910.315,2.6425,-1.3385,-2.4309,11.3695,3.5877,0.00035903,-4,,0.00020893,,,,,,,-4,0,,,,0.31966,0.50657,0.18846,1.7446,0.35734,
112.0461,-352.8068,2.5476,-1.2975,-3.7285,41.6148,13.2461,0.0013255,-3.5,,0.00086047,,,,,,,-3.5,0,,,,,,0.11252,2.0469,0.46393,
43.6782,-136.7358,2.4099,-1.2394,-4.9678,143.7134,46.3321,0.0046365,-3,,0.0033486,,,,,,,-3,0,,,,,,0.19509,1.8156,0.31966,
17.1812,-52.9941,2.1986,-1.1521,-6.12,454.8427,149.639,0.014974,-2.5,,0.011957,,,,,,,-2.5,0,,,,,,0.10061,1.9802,0.50657,
6.9118,-20.5387,1.8616,-1.0151,-7.135,1255.1397,427.4956,0.04278,-2,,0.020359,,,,,,,-2,0.016901,,,,,,,,,
2.9318,-7.9601,1.3364,-0.7995,-7.9345,2791.9687,1011.7771,0.10125,-1.5,,-0.04088,,,,,,,-1.5,0.13521,,,,,,,,,
1.3893,-3.0851,0.70846,-0.51122,-8.4457,4655.1366,1861.7763,0.18631,-1,,-0.0038909,,,,,,,-1,0.19155,,,,,,,,,
0.79144,-1.1957,-0.944,0.058885,-8.3868,4388.9342,2261.0177,0.22626,-0.5,,0.00097949,,,,,,,-0.5,0.22676,,,,,,,,,
0.55974,-0.4634,-1.1385,0.52062,-7.8662,2607.6865,1749.1552,0.17504,0,,-0.0083511,,,,,,,0,0.17113,,,,,,,,,
0.46994,-0.1796,-1.2463,0.59619,-7.27,1436.5901,1011.0691,0.10118,0.5,,-0.017557,,,,,,,0.5,0.10775,,,,,,,,,
0.43514,-0.069606,-1.1575,0.60095,-6.6691,787.6663,556.0641,0.055646,1,,-0.0094522,,,,,,,1,0.064789,,,,,,,,,
0.42165,-0.026977,-1.0093,0.54172,-6.1274,458.2214,311.4719,0.031169,1.5,,-0.007645,,,,,,,1.5,0.043662,,,,,,,,,
0.41642,-0.010455,-0.86718,0.46913,-5.6582,286.6382,186.2149,0.018635,2,,0.0067065,,,,,,,2,0.01831,,,,,,,,,
0.41439,-0.0040521,-0.74867,0.40396,-5.2543,191.3796,119.5044,0.011959,2.5,,0.0050044,,,,,,,2.5,0.01338,,,,,,,,,
0.41361,-0.0015705,-0.65382,0.35062,-4.9036,134.7792,81.5397,0.0081597,3,,0.0077929,,,,,,,3,0.006338,,,,,,,,,
0.41331,-0.00060865,-0.57827,0.30802,-4.5956,99.049,58.457,0.0058498,3.5,,0.0077257,,,,,,,3.5,0.0035211,,,,,,,,,
0.41319,-0.00023589,-0.51753,0.27395,-4.3217,75.3138,43.5907,0.0043621,4,,0.0084946,,,,,,,4,0.00070423,,,,,,,,,
0.41314,-9.1424e-05,-0.46799,0.24638,-4.0753,58.8671,33.5452,0.0033569,4.5,,0.0076885,,,,,,,4.5,0,,,,,,,,,
0.41312,-3.5433e-05,-0.42697,0.22374,-3.8515,47.0656,26.4832,0.0026502,5,,0.0065396,,,,,,,5,0,,,,,,,,,
0.41312,-1.3733e-05,-0.3925,0.20487,-3.6467,38.3469,21.3531,0.0021368,5.5,,,,,,,,,,,,,,,,,,,
0.41311,-5.3223e-06,-0.36316,0.18891,-3.4578,31.7458,17.5232,0.0017536,6,,,,,,,,,,,,,,,,,,,

