"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","residuals","resnorm","ag","bg","cg","mean","stdev","field_x","field_y","C1","C2","CV","upper","lower","ag_range","bg_range","cg_range",
2009.2201,-2438.3849,0.82524,-0.20631,-0.20631,1.2291,1.0394,0.00011856,-5,0.00011406,5.8564e-05,0.0029597,0.17697,1.8674,0.35925,62.4464,41.9995,-5,0,0.4,0.59473,0.67257,0.12497,0.22897,0.12497,1.9969,0.44978,
790.0276,-2438.3849,2.6477,-0.86824,-1.0745,2.9287,1.0394,0.00011856,-4.5,,5.8564e-05,,,,,,,-4.5,0,,,,1.7204,2.0145,0.22897,1.7652,0.27351,
310.7721,-958.5111,2.5806,-1.3071,-2.3816,10.8224,3.4378,0.00039211,-4,,0.00021674,,,,,,,-4,0,,,,0.26815,0.45035,0.22476,1.7204,0.2966,
122.3802,-376.7836,2.489,-1.2674,-3.649,38.4367,12.3148,0.0014046,-3.5,,0.00087147,,,,,,,-3.5,0,,,,,,0.13871,2.0145,0.41398,
48.3248,-148.1109,2.3574,-1.2116,-4.8606,129.1028,41.8849,0.0047773,-3,,0.0033205,,,,,,,-3,0,,,,,,0.22615,1.7872,0.26815,
19.2142,-58.2213,2.1579,-1.1288,-5.9894,399.191,132.0734,0.015064,-2.5,,0.011674,,,,,,,-2.5,0,,,,,,0.1298,1.9575,0.45035,
7.771,-22.8864,1.8414,-0.99984,-6.9893,1084.9356,371.0316,0.042319,-2,,0.01905,,,,,,,-2,0.017137,,,,,,,,,
3.2727,-8.9965,1.3377,-0.79479,-7.7841,2402.017,871.7381,0.099429,-1.5,,-0.033286,,,,,,,-1.5,0.12548,,,,,,,,,
1.5045,-3.5364,0.62851,-0.49156,-8.2756,3926.9645,1582.2454,0.18047,-1,,-0.016105,,,,,,,-1,0.19735,,,,,,,,,
0.80945,-1.3901,-0.5763,-0.013054,-8.2887,3978.5627,1976.3818,0.22542,-0.5,,0.01679,,,,,,,-0.5,0.20951,,,,,,,,,
0.53622,-0.54646,-1.1432,0.42987,-7.8588,2588.4323,1641.7488,0.18726,0,,-0.023038,,,,,,,0,0.1979,,,,,,,,,
0.42882,-0.21481,-1.4091,0.63807,-7.2207,1367.494,988.9816,0.1128,0.5,,-0.0099334,,,,,,,0.5,0.11222,,,,,,,,,
0.3866,-0.08444,-1.3767,0.69644,-6.5243,681.4964,512.2476,0.058426,1,,-0.0028526,,,,,,,1,0.062465,,,,,,,,,
0.37,-0.033193,-1.2281,0.65118,-5.8731,355.3515,259.212,0.029565,1.5,,0.00049649,,,,,,,1.5,0.035379,,,,,,,,,
0.36348,-0.013048,-1.0659,0.57348,-5.2996,200.2614,138.9032,0.015843,2,,0.0025778,,,,,,,2,0.020453,,,,,,,,,
0.36091,-0.005129,-0.92427,0.49753,-4.8021,121.7645,80.5065,0.0091825,2.5,,0.0058189,,,,,,,2.5,0.0099502,,,,,,,,,
0.3599,-0.0020162,-0.80867,0.43323,-4.3689,78.9531,50.1794,0.0057234,3,,0.0064185,,,,,,,3,0.0049751,,,,,,,,,
0.35951,-0.00079254,-0.71572,0.3811,-3.9878,53.9338,33.2217,0.0037892,3.5,,0.0047216,,,,,,,3.5,0.0038695,,,,,,,,,
0.35935,-0.00031154,-0.64067,0.3391,-3.6487,38.4231,23.0892,0.0026335,4,,0.0044885,,,,,,,4,0.0022112,,,,,,,,,
0.35929,-0.00012246,-0.57934,0.305,-3.3437,28.3225,16.6864,0.0019032,4.5,,0.004261,,,,,,,4.5,0.0011056,,,,,,,,,
0.35927,-4.814e-05,-0.52851,0.27696,-3.0667,21.4708,12.4483,0.0014198,5,,0.0043931,,,,,,,5,0,,,,,,,,,
0.35926,-1.8923e-05,-0.48579,0.25357,-2.8131,16.6619,9.5332,0.0010873,5.5,,,,,,,,,,,,,,,,,,,
0.35925,-7.4387e-06,-0.44942,0.2338,-2.5793,13.1882,7.4625,0.00085116,6,,,,,,,,,,,,,,,,,,,

