coarse_1,fines_1,coarse_10,fines_10,coarse_12,fines_12,coarser_14,full_15,coarse_16,fines_16,coarse_2,fines_2,coarse_3,fines_3,coarse_4,fines_4,coarse_6,fines_6,coarse_8,fines_8
135,56,93,21,92,10,118,19,182,67,113,84,56,21,76,20,109,13,53,51
90,70,23,26,205,28,95,91,13,18,104,16,66,43,104,22,73,74,132,45
67,22,43,42,14,39,37,42,176,40,114,47,80,37,130,71,49,10,26,43
68,25,51,80,67,22,235,32,85,125,85,10,92,57,38,84,18,52,60,23
75,69,58,95,55,42,82,62,24,64,94,62,46,15,135,38,55,11,66,15
48,36,46,87,46,16,42,11,86,40,90,155,43,112,10,55,32,35,22,33
50,18,82,31,93,48,75,20,155,66,212,60,71,80,64,12,165,72,52,18
50,32,48,76,58,34,149,53,164,58,11,106,37,93,87,37,74,68,127,32
94,19,82,19,42,47,33,53,27,13,117,73,78,38,74,20,87,60,89,12
126,18,68,51,117,29,31,46,117,118,63,12,164,27,60,64,18,12,10,34
76,50,163,40,74,13,238,52,42,66,63,56,91,62,33,16,18,27,72,17
92,54,40,62,115,31,135,30,62,85,46,23,14,46,29,46,85,19,30,18
62,55,16,26,112,14,105,15,64,45,11,149,93,33,16,86,60,24,66,21
12,38,60,24,52,52,94,33,173,11,46,15,75,12,42,23,72,21,42,34
93,61,146,63,47,43,182,40,121,90,22,27,122,10,37,18,100,11,11,37
62,47,107,58,87,28,131,50,33,13,70,14,67,106,65,37,14,40,42,64
62,16,57,71,120,35,41,15,85,50,36,76,135,72,84,12,82,67,118,18
50,50,92,48,112,32,71,25,42,96,91,104,108,55,70,14,35,11,132,23
139,87,80,23,75,51,17,14,147,38,96,0,88,11,49,43,37,13,81,14
28,36,26,16,43,31,103,52,80,57,154,0,26,44,27,31,85,19,55,23
71,72,91,66,103,20,810,20,210,15,107,0,19,38,45,20,72,10,12,26
10,53,97,49,10,22,66,38,28,80,150,0,94,13,122,33,25,38,26,15
53,45,181,25,48,11,141,16,88,55,73,0,95,90,42,46,17,97,126,111
41,96,12,64,180,52,187,10,73,39,121,0,73,19,70,24,43,63,66,14
105,10,111,42,19,13,227,195,57,44,124,0,74,45,92,12,124,14,73,61
75,43,82,75,84,20,93,19,104,95,133,0,55,14,61,90,34,62,80,55
21,49,132,15,52,43,74,36,41,72,52,0,25,62,42,40,163,20,15,51
125,79,29,24,73,11,157,64,240,27,132,0,175,11,104,44,115,94,100,66
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
