"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","ag","bg","cg","C1","C2","CV",
0.50011,-0.00029531,-0.38828,0.0394,-0.4585,1.5817,-0.16135,4.4945,2.5,,,,,,,,
0.50008,-0.00023083,-0.37744,0.038286,-0.42022,1.5223,-0.1552,4.3257,2.6,,,,,,,,
0.50006,-0.00018042,-0.36717,0.037231,-0.38299,1.4667,-0.14945,4.1676,2.7,,,,,,,,
0.50005,-0.00014102,-0.35743,0.03623,-0.34676,1.4145,-0.14406,4.0193,2.8,,,,,,,,
0.50004,-0.00011023,-0.34818,0.035281,-0.31148,1.3654,-0.139,3.88,2.9,,,,,,,,
0.50003,-8.616e-05,-0.33939,0.034379,-0.2771,1.3193,-0.13424,3.7489,3,,,,,,,,
0.50002,-6.7346e-05,-0.33102,0.033521,-0.24358,1.2758,-0.12975,3.6253,3.1,,,,,,,,
0.50002,-5.264e-05,-0.32305,0.032704,-0.21087,1.2348,-0.12553,3.5087,3.2,,,,,,,,
0.50001,-4.1146e-05,-0.31545,0.031925,-0.17895,1.196,-0.12154,3.3984,3.3,,,,,,,,
0.50001,-3.2161e-05,-0.3082,0.031182,-0.14776,1.1592,-0.11776,3.2941,3.4,,,,,,,,
0.50001,-2.5138e-05,-0.30126,0.030473,-0.11729,1.1244,-0.11418,3.1952,3.5,,,,,,,,
0.50001,-1.9649e-05,-0.29463,0.029795,-0.087497,1.0914,-0.11079,3.1014,3.6,,,,,,,,
0.50001,-1.5358e-05,-0.28829,0.029146,-0.058351,1.0601,-0.10758,3.0123,3.7,,,,,,,,
0.5,-1.2005e-05,-0.28221,0.028525,-0.029826,1.0303,-0.10452,2.9276,3.8,,,,,,,,
0.5,-9.3833e-06,-0.27638,0.027929,-0.0018972,1.0019,-0.10161,2.847,3.9,,,,,,,,
0.5,-7.3343e-06,-0.27078,0.027358,0.025461,0.97486,-0.098838,2.7701,4,,,,,,,,
0.5,-5.7328e-06,-0.26541,0.026809,0.05227,0.94907,-0.096197,2.6969,4.1,,,,,,,,
0.5,-4.481e-06,-0.26024,0.026282,0.078553,0.92445,-0.093676,2.6269,4.2,,,,,,,,
0.5,-3.5025e-06,-0.25527,0.025776,0.10433,0.90093,-0.091269,2.5601,4.3,,,,,,,,
0.5,-2.7377e-06,-0.25049,0.025288,0.12962,0.87843,-0.088968,2.4961,4.4,,,,,,,,
0.5,-2.1399e-06,-0.24588,0.024819,0.15444,0.8569,-0.086767,2.4349,4.5,,,,,,,,
0.5,-1.6726e-06,-0.24144,0.024366,0.1788,0.83627,-0.084659,2.3763,4.6,,,,,,,,
0.5,-1.3074e-06,-0.23716,0.02393,0.20273,0.8165,-0.082638,2.3201,4.7,,,,,,,,
0.5,-1.0219e-06,-0.23303,0.023509,0.22624,0.79753,-0.080701,2.2662,4.8,,,,,,,,
0.5,-7.9875e-07,-0.22903,0.023103,0.24934,0.77931,-0.078842,2.2145,4.9,,,,,,,,
0.5,-6.2433e-07,-0.22517,0.02271,0.27205,0.76181,-0.077056,2.1648,5,,,,,,,,

