"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","ag","bg","cg","C1","C2","CV",
98.1501,-189.1616,1.5378,-0.076891,-0.076891,1.0799,-0.11838,1.5514,-3,1.4366,"0.15451","2.1501","0.37364","0.7","1.08052","0.647833",
79.2339,-189.1616,1.9816,-0.17597,-0.25286,1.2877,-0.11838,1.8499,-2.9,,,,,,,,
63.9773,-152.5658,1.9614,-0.19715,-0.45002,1.5683,-0.1428,2.2531,-2.8,,,,,,,,
51.6723,-123.0499,1.9391,-0.19502,-0.64504,1.9061,-0.17372,2.7382,-2.7,,,,,,,,
41.7479,-99.2442,1.9145,-0.19268,-0.83772,2.3111,-0.21086,3.3201,-2.6,,,,,,,,
33.7435,-80.0441,1.8873,-0.19009,-1.0278,2.7949,-0.2553,4.0152,-2.5,,,,,,,,
27.2877,-64.5585,1.857,-0.18721,-1.215,3.3704,-0.30827,4.8418,-2.4,,,,,,,,
22.0808,-52.0688,1.8233,-0.18402,-1.399,4.0513,-0.37108,5.8201,-2.3,,,,,,,,
17.8812,-41.9954,1.7857,-0.18045,-1.5795,4.8525,-0.44519,6.971,-2.2,,,,,,,,
14.4942,-33.8708,1.7435,-0.17646,-1.7559,5.7889,-0.53207,8.3163,-2.1,,,,,,,,
11.7624,-27.3181,1.6962,-0.17199,-1.9279,6.8753,-0.63321,9.877,-2,,,,,,,,
9.5591,-22.033,1.6432,-0.16697,-2.0949,8.1247,-0.75,11.6718,-1.9,,,,,,,,
7.782,-17.7704,1.5835,-0.16133,-2.2562,9.5471,-0.88359,13.7153,-1.8,,,,,,,,
6.3488,-14.3325,1.5165,-0.155,-2.4112,11.1477,-1.0347,16.0147,-1.7,,,,,,,,
5.1928,-11.5597,1.4413,-0.14789,-2.5591,12.9245,-1.2036,18.5672,-1.6,,,,,,,,
4.2605,-9.3233,1.3572,-0.13993,-2.6991,14.8656,-1.3895,21.3558,-1.5,,,,,,,,
3.5085,-7.5196,1.2635,-0.13104,-2.8301,16.947,-1.5906,24.3458,-1.4,,,,,,,,
2.902,-6.0648,1.1598,-0.12116,-2.9513,19.1299,-1.8038,27.4818,-1.3,,,,,,,,
2.4129,-4.8915,1.0458,-0.11028,-3.0615,21.3603,-2.0245,30.6859,-1.2,,,,,,,,
2.0184,-3.9452,0.92196,-0.098388,-3.1599,23.5687,-2.2465,33.8586,-1.1,,,,,,,,
1.7002,-3.1819,0.78929,-0.085562,-3.2455,25.6741,-2.4621,36.8831,-1,,,,,,,,
1.4435,-2.5663,0.65017,-0.071973,-3.3175,27.5901,-2.6632,39.6356,-0.9,,,,,,,,
1.2365,-2.0698,0.51043,-0.05803,-3.3755,29.2385,-2.8414,42.0037,-0.8,,,,,,,,
1.0696,-1.6694,0.40626,-0.045835,-3.4213,30.6098,-2.9924,43.9737,-0.7,,,,,,,,
0.93496,-1.3464,0.094221,-0.025024,-3.4463,31.3855,-3.0998,45.088,-0.6,,,,,,,,
0.82637,-1.086,-0.0012547,-0.0046483,-3.451,31.5317,-3.1459,45.2981,-0.5,,,,,,,,
0.73878,-0.87586,-0.13482,0.0068037,-3.4442,31.3179,-3.1425,44.9909,-0.4,,,,,,,,
0.66814,-0.70641,-0.26426,0.019954,-3.4242,30.6992,-3.1009,44.1021,-0.3,,,,,,,,
0.61116,-0.56975,-0.38256,0.032341,-3.3919,29.7222,-3.0211,42.6986,-0.2,,,,,,,,
0.56521,-0.45952,-0.48651,0.043453,-3.3484,28.4584,-2.909,40.8829,-0.1,,,,,,,,
0.52815,-0.37062,-0.57455,0.053053,-3.2954,26.9879,-2.7723,38.7705,0,,,,,,,,
0.49826,-0.29892,-0.64627,0.061041,-3.2343,25.3898,-2.6189,36.4747,0.1,,,,,,,,
0.47415,-0.24109,-0.70214,0.06742,-3.1669,23.7345,-2.4562,34.0966,0.2,,,,,,,,
0.4547,-0.19445,-0.74331,0.072272,-3.0947,22.0796,-2.2907,31.7193,0.3,,,,,,,,
0.43902,-0.15683,-0.77136,0.075733,-3.0189,20.4692,-2.1274,29.4058,0.4,,,,,,,,
0.42637,-0.12649,-0.78808,0.077972,-2.9409,18.9338,-1.9702,27.2001,0.5,,,,,,,,
0.41617,-0.10202,-0.79532,0.07917,-2.8618,17.4926,-1.8213,25.1297,0.6,,,,,,,,
0.40794,-0.082281,-0.79484,0.079508,-2.7823,16.1557,-1.6824,23.2091,0.7,,,,,,,,
0.40131,-0.066363,-0.78825,0.079155,-2.7031,14.9262,-1.5541,21.4428,0.8,,,,,,,,
0.39595,-0.053524,-0.77697,0.078261,-2.6249,13.8026,-1.4364,19.8286,0.9,,,,,,,,
0.39164,-0.043169,-0.7622,0.076959,-2.5479,12.7802,-1.3291,18.3599,1,,,,,,,,
0.38816,-0.034817,-0.74494,0.075357,-2.4725,11.8525,-1.2316,17.0272,1.1,,,,,,,,
0.38535,-0.028081,-0.726,0.073547,-2.399,11.0121,-1.1432,15.8198,1.2,,,,,,,,
0.38308,-0.022649,-0.70603,0.071602,-2.3274,10.2512,-1.0632,14.7267,1.3,,,,,,,,
0.38126,-0.018267,-0.68553,0.069578,-2.2578,9.5621,-0.99066,13.7369,1.4,,,,,,,,
0.37978,-0.014733,-0.66489,0.067521,-2.1903,8.9378,-0.925,12.84,1.5,,,,,,,,
0.37859,-0.011883,-0.64439,0.065464,-2.1248,8.3715,-0.86546,12.0263,1.6,,,,,,,,
0.37764,-0.0095839,-0.62426,0.063432,-2.0614,7.8569,-0.81142,11.2872,1.7,,,,,,,,
0.37686,-0.0077297,-0.60464,0.061445,-2,7.3887,-0.76228,10.6145,1.8,,,,,,,,
0.37624,-0.0062343,-0.58564,0.059514,-1.9404,6.9618,-0.71752,10.0012,1.9,,,,,,,,
0.37574,-0.0050282,-0.56733,0.057648,-1.8828,6.5718,-0.67668,9.441,2,,,,,,,,
0.37533,-0.0040554,-0.54974,0.055853,-1.8269,6.2148,-0.63933,8.9281,2.1,,,,,,,,
0.375,-0.0032709,-0.5329,0.054132,-1.7728,5.8873,-0.60511,8.4577,2.2,,,,,,,,
0.37474,-0.0026381,-0.51679,0.052484,-1.7203,5.5863,-0.57368,8.0252,2.3,,,,,,,,
0.37453,-0.0021277,-0.50143,0.050911,-1.6694,5.309,-0.54477,7.6269,2.4,,,,,,,,
0.37436,-0.0017161,-0.48677,0.04941,-1.62,5.0531,-0.5181,7.2592,2.5,,,,,,,,
0.37422,-0.0013841,-0.47281,0.047979,-1.572,4.8164,-0.49347,6.9191,2.6,,,,,,,,
0.37411,-0.0011163,-0.45951,0.046616,-1.5254,4.597,-0.47067,6.604,2.7,,,,,,,,
0.37402,-0.00090034,-0.44685,0.045318,-1.4801,4.3933,-0.44952,6.3114,2.8,,,,,,,,
0.37394,-0.00072616,-0.43479,0.044082,-1.436,4.2039,-0.42986,6.0392,2.9,,,,,,,,
0.37388,-0.00058567,-0.4233,0.042904,-1.3931,4.0273,-0.41156,5.7856,3,,,,,,,,
0.37384,-0.00047237,-0.41235,0.041782,-1.3513,3.8625,-0.39449,5.5488,3.1,,,,,,,,
0.3738,-0.00038098,-0.40191,0.040713,-1.3106,3.7084,-0.37855,5.3275,3.2,,,,,,,,
0.37377,-0.00030727,-0.39195,0.039693,-1.2709,3.5641,-0.36363,5.1201,3.3,,,,,,,,
0.37374,-0.00024783,-0.38245,0.03872,-1.2322,3.4287,-0.34964,4.9257,3.4,,,,,,,,
0.37372,-0.00019988,-0.37337,0.037791,-1.1944,3.3016,-0.33652,4.743,3.5,,,,,,,,
0.37371,-0.00016121,-0.3647,0.036903,-1.1575,3.182,-0.32418,4.5712,3.6,,,,,,,,
0.37369,-0.00013002,-0.3564,0.036055,-1.1214,3.0693,-0.31256,4.4093,3.7,,,,,,,,
0.37368,-0.00010487,-0.34846,0.035243,-1.0862,2.963,-0.30161,4.2566,3.8,,,,,,,,
0.37368,-8.4581e-05,-0.34086,0.034466,-1.0517,2.8626,-0.29128,4.1124,3.9,,,,,,,,
0.37367,-6.8217e-05,-0.33358,0.033722,-1.018,2.7677,-0.28151,3.976,4,,,,,,,,
0.37366,-5.502e-05,-0.32659,0.033008,-0.985,2.6778,-0.27228,3.8469,4.1,,,,,,,,
0.37366,-4.4375e-05,-0.31988,0.032324,-0.95268,2.5926,-0.26352,3.7246,4.2,,,,,,,,
0.37365,-3.579e-05,-0.31344,0.031666,-0.92101,2.5118,-0.25522,3.6085,4.3,,,,,,,,
0.37365,-2.8866e-05,-0.30726,0.031035,-0.88998,2.4351,-0.24735,3.4982,4.4,,,,,,,,
0.37365,-2.3282e-05,-0.3013,0.030428,-0.85955,2.3621,-0.23986,3.3934,4.5,,,,,,,,
0.37365,-1.8778e-05,-0.29557,0.029844,-0.82971,2.2926,-0.23274,3.2936,4.6,,,,,,,,
0.37365,-1.5145e-05,-0.29006,0.029282,-0.80042,2.2265,-0.22596,3.1985,4.7,,,,,,,,
0.37365,-1.2215e-05,-0.28474,0.02874,-0.77168,2.1634,-0.21949,3.1079,4.8,,,,,,,,
0.37364,-9.8517e-06,-0.27962,0.028218,-0.74347,2.1032,-0.21333,3.0214,4.9,,,,,,,,
0.37364,-7.9458e-06,-0.27467,0.027714,-0.71575,2.0457,-0.20745,2.9389,5,,,,,,,,

