"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","ag","bg","cg","C1","C2","CV",
8.7061,-8.6164,0.56139,-0.028069,-0.028069,1.0285,-0.10608,18.7349,-3,18.2163,"0.34","1.072","0.23","0.7","0.922188","0.759064",
7.8445,-8.6164,0.65648,-0.060894,-0.088963,1.093,-0.10608,19.9112,-2.9,,,,,,,,
7.0704,-7.7405,0.63861,-0.064755,-0.15372,1.1662,-0.11296,21.2432,-2.8,,,,,,,,
6.375,-6.9537,0.61971,-0.062916,-0.21663,1.2419,-0.1204,22.6227,-2.7,,,,,,,,
5.7504,-6.2468,0.59973,-0.060972,-0.27761,1.32,-0.12809,24.045,-2.6,,,,,,,,
5.1892,-5.6118,0.5786,-0.058916,-0.33652,1.4001,-0.136,25.5042,-2.5,,,,,,,,
4.6851,-5.0413,0.55626,-0.056743,-0.39327,1.4818,-0.14409,26.9932,-2.4,,,,,,,,
4.2322,-4.5288,0.53266,-0.054446,-0.44771,1.5647,-0.15233,28.5036,-2.3,,,,,,,,
3.8253,-4.0684,0.50773,-0.052019,-0.49973,1.6483,-0.16065,30.0256,-2.2,,,,,,,,
3.4598,-3.6549,0.48143,-0.049458,-0.54919,1.7318,-0.16901,31.5479,-2.1,,,,,,,,
3.1315,-3.2833,0.45369,-0.046756,-0.59594,1.8147,-0.17733,33.058,-2,,,,,,,,
2.8366,-2.9496,0.42447,-0.043908,-0.63985,1.8962,-0.18555,34.5418,-1.9,,,,,,,,
2.5716,-2.6497,0.39374,-0.040911,-0.68076,1.9754,-0.19358,35.9843,-1.8,,,,,,,,
2.3335,-2.3804,0.36147,-0.037761,-0.71852,2.0514,-0.20134,37.3691,-1.7,,,,,,,,
2.1197,-2.1384,0.32765,-0.034456,-0.75298,2.1233,-0.20874,38.6791,-1.6,,,,,,,,
1.9276,-1.921,0.29229,-0.030997,-0.78398,2.1902,-0.21567,39.8968,-1.5,,,,,,,,
1.755,-1.7257,0.25543,-0.027386,-0.81136,2.251,-0.22206,41.0045,-1.4,,,,,,,,
1.6,-1.5503,0.21718,-0.023631,-0.83499,2.3048,-0.22779,41.985,-1.3,,,,,,,,
1.4607,-1.3927,0.17773,-0.019746,-0.85474,2.3508,-0.23278,42.8223,-1.2,,,,,,,,
1.3356,-1.2511,0.13748,-0.015761,-0.8705,2.3881,-0.23694,43.5026,-1.1,,,,,,,,
1.2232,-1.1239,0.097472,-0.011748,-0.88225,2.4163,-0.24022,44.0166,-1,,,,,,,,
1.1223,-1.0097,0.061443,-0.0079457,-0.89019,2.4356,-0.2426,44.3678,-0.9,,,,,,,,
1.0316,-0.90704,0.068818,-0.0065131,-0.89671,2.4515,-0.24436,44.6577,-0.8,,,,,,,,
0.95008,-0.81483,-0.10704,0.0019113,-0.8948,2.4468,-0.24492,44.5724,-0.7,,,,,,,,
0.87688,-0.732,-0.12242,0.011473,-0.88332,2.4189,-0.24329,44.0639,-0.6,,,,,,,,
0.81112,-0.65759,-0.16399,0.014321,-0.869,2.3845,-0.24017,43.4374,-0.5,,,,,,,,
0.75204,-0.59074,-0.21021,0.01871,-0.85029,2.3403,-0.23624,42.6322,-0.4,,,,,,,,
0.69898,-0.53069,-0.25805,0.023413,-0.82688,2.2862,-0.23133,41.6457,-0.3,,,,,,,,
0.6513,-0.47674,-0.30647,0.028226,-0.79865,2.2225,-0.22544,40.4866,-0.2,,,,,,,,
0.60847,-0.42828,-0.35484,0.033065,-0.76559,2.1503,-0.21864,39.1698,-0.1,,,,,,,,
0.57,-0.38474,-0.40271,0.037878,-0.72771,2.0703,-0.21103,37.7139,0,,,,,,,,
0.53544,-0.34563,-0.44968,0.04262,-0.68509,1.9839,-0.20271,36.1403,0.1,,,,,,,,
0.50439,-0.31049,-0.4954,0.047254,-0.63784,1.8924,-0.19382,34.4722,0.2,,,,,,,,
0.47649,-0.27893,-0.53954,0.051747,-0.58609,1.7969,-0.18447,32.7338,0.3,,,,,,,,
0.45144,-0.25058,-0.58179,0.056066,-0.53002,1.699,-0.1748,30.949,0.4,,,,,,,,
0.42893,-0.2251,-0.62187,0.060183,-0.46984,1.5997,-0.16494,29.1413,0.5,,,,,,,,
0.4087,-0.20222,-0.65956,0.064072,-0.40577,1.5005,-0.15501,27.3328,0.6,,,,,,,,
0.39054,-0.18166,-0.69465,0.067711,-0.33806,1.4022,-0.14513,25.5433,0.7,,,,,,,,
0.37422,-0.1632,-0.72699,0.071082,-0.26697,1.306,-0.13541,23.7907,0.8,,,,,,,,
0.35956,-0.14661,-0.75646,0.074173,-0.1928,1.2126,-0.12593,22.0899,0.9,,,,,,,,
0.34639,-0.1317,-0.78299,0.076972,-0.11583,1.1228,-0.11677,20.4534,1,,,,,,,,
0.33456,-0.11831,-0.80654,0.079476,-0.036353,1.037,-0.10799,18.8907,1.1,,,,,,,,
0.32393,-0.10629,-0.82713,0.081684,0.045331,0.95568,-0.099635,17.409,1.2,,,,,,,,
0.31438,-0.095483,-0.84481,0.083597,0.12893,0.87904,-0.091736,16.0128,1.3,,,,,,,,
0.3058,-0.085776,-0.85965,0.085223,0.21415,0.80723,-0.084313,14.7047,1.4,,,,,,,,
0.2981,-0.077057,-0.87175,0.08657,0.30072,0.74028,-0.077376,13.4853,1.5,,,,,,,,
0.29117,-0.069223,-0.88126,0.08765,0.38837,0.67816,-0.070922,12.3536,1.6,,,,,,,,
0.28495,-0.062186,-0.88831,0.088478,0.47685,0.62074,-0.064945,11.3075,1.7,,,,,,,,
0.27937,-0.055865,-0.89307,0.089069,0.56592,0.56784,-0.059429,10.3439,1.8,,,,,,,,
0.27435,-0.050186,-0.89571,0.089439,0.65536,0.51926,-0.054355,9.459,1.9,,,,,,,,
0.26984,-0.045084,-0.8964,0.089605,0.74496,0.47475,-0.0497,8.6482,2,,,,,,,,
0.26579,-0.040501,-0.89532,0.089586,0.83455,0.43407,-0.045441,7.9072,2.1,,,,,,,,
0.26215,-0.036384,-0.89264,0.089398,0.92395,0.39695,-0.041551,7.231,2.2,,,,,,,,
0.25888,-0.032685,-0.88853,0.089058,1.013,0.36313,-0.038004,6.6148,2.3,,,,,,,,
0.25595,-0.029363,-0.88315,0.088584,1.1016,0.33234,-0.034773,6.0541,2.4,,,,,,,,
0.25331,-0.026378,-0.87666,0.08799,1.1896,0.30435,-0.031835,5.5441,2.5,,,,,,,,
0.25094,-0.023696,-0.86919,0.087292,1.2769,0.27891,-0.029163,5.0807,2.6,,,,,,,,
0.24881,-0.021287,-0.8609,0.086505,1.3634,0.2558,-0.026735,4.6597,2.7,,,,,,,,
0.2469,-0.019123,-0.85189,0.085639,1.449,0.2348,-0.02453,4.2772,2.8,,,,,,,,
0.24518,-0.017179,-0.84229,0.084709,1.5337,0.21573,-0.022527,3.9298,2.9,,,,,,,,
0.24364,-0.015433,-0.83219,0.083724,1.6174,0.1984,-0.020707,3.6142,3,,,,,,,,
0.24225,-0.013864,-0.8217,0.082695,1.7001,0.18266,-0.019053,3.3274,3.1,,,,,,,,
