"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","ag","bg","cg","C1","C2","CV",
0.049432,-0.020502,-5.0841,0.5019,-7.263,1426.4691,-189.1401,0.0047321,3.6,,,,,,,,
0.047552,-0.018806,-5.2076,0.51459,-6.7484,852.6694,-113.9569,0.0028286,3.7,,,,,,,,
0.045826,-0.01725,-5.3242,0.52659,-6.2218,503.5977,-67.8134,0.0016706,3.8,,,,,,,,
0.044244,-0.015823,-5.4335,0.53789,-5.6839,294.0911,-39.8844,0.00097561,3.9,,,,,,,,
0.042793,-0.014514,-5.5351,0.54843,-5.1355,169.942,-23.2017,0.00056376,4,,,,,,,,
0.041461,-0.013313,-5.6289,0.5582,-4.5773,97.2473,-13.3595,0.00032261,4.1,,,,,,,,
0.04024,-0.012212,-5.7145,0.56717,-4.0101,55.1518,-7.62,0.00018296,4.2,,,,,,,,
0.03912,-0.011202,-5.792,0.57533,-3.4348,31.024,-4.3088,0.00010292,4.3,,,,,,,,
0.038093,-0.010275,-5.8614,0.58267,-2.8521,17.3239,-2.4174,5.747e-05,4.4,,,,,,,,
0.03715,-0.009425,-5.9226,0.5892,-2.2629,9.6108,-1.3467,3.1883e-05,4.5,,,,,,,,
0.036285,-0.0086452,-5.9758,0.59492,-1.668,5.3014,-0.74561,1.7587e-05,4.6,,,,,,,,
0.035492,-0.00793,-6.0212,0.59985,-1.0681,2.9099,-0.41056,9.6532e-06,4.7,,,,,,,,
0.034765,-0.007274,-6.059,0.60401,-0.4641,1.5906,-0.22502,5.2766e-06,4.8,,,,,,,,
0.034098,-0.0066722,-6.0894,0.60742,0.14332,0.86648,-0.12285,2.8744e-06,4.9,,,,,,,,
0.033486,-0.0061202,-6.1127,0.6101,0.75342,0.47075,-0.066862,1.5617e-06,5,,,,,,,,

