"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","ag","bg","cg","C1","C2","CV",
0.18524,-0.011445,-1.04,0.10464,1.8496,0.1573,-0.016598,1.8845,3.3,,,,,,,,
0.18421,-0.010242,-1.0266,0.10333,1.9529,0.14186,-0.014958,1.6995,3.4,,,,,,,,
0.1833,-0.0091664,-1.013,0.10198,2.0549,0.12811,-0.013498,1.5347,3.5,,,,,,,,
0.18248,-0.0082034,-0.99902,0.1006,2.1555,0.11585,-0.012198,1.3878,3.6,,,,,,,,
0.18174,-0.0073415,-0.9849,0.099196,2.2547,0.10491,-0.011038,1.2568,3.7,,,,,,,,
0.18109,-0.0065702,-0.97068,0.097779,2.3525,0.095134,-0.010002,1.1397,3.8,,,,,,,,
0.1805,-0.0058799,-0.95643,0.096355,2.4488,0.086395,-0.0090764,1.035,3.9,,,,,,,,
0.17997,-0.0052622,-0.94218,0.09493,2.5438,0.078571,-0.0082483,0.94127,4,,,,,,,,
0.1795,-0.0047093,-0.928,0.093509,2.6373,0.071557,-0.0075064,0.85724,4.1,,,,,,,,
0.17908,-0.0042146,-0.91391,0.092095,2.7294,0.065261,-0.0068409,0.78182,4.2,,,,,,,,
0.1787,-0.0037718,-0.89996,0.090693,2.8201,0.059603,-0.0062432,0.71403,4.3,,,,,,,,
0.17837,-0.0033755,-0.88617,0.089306,2.9094,0.05451,-0.0057057,0.65303,4.4,,,,,,,,
0.17806,-0.0030209,-0.87256,0.087936,2.9973,0.049922,-0.0052216,0.59806,4.5,,,,,,,,
0.17779,-0.0027035,-0.85916,0.086586,3.0839,0.045781,-0.0047851,0.54845,4.6,,,,,,,,
0.17755,-0.0024195,-0.84597,0.085256,3.1691,0.04204,-0.004391,0.50363,4.7,,,,,,,,
0.17733,-0.0021653,-0.83301,0.083949,3.2531,0.038655,-0.0040347,0.46308,4.8,,,,,,,,
0.17714,-0.0019378,-0.8203,0.082666,3.3358,0.035588,-0.0037121,0.42634,4.9,,,,,,,,
0.17697,-0.0017342,-0.80783,0.081407,3.4172,0.032805,-0.0034197,0.39301,5,,,,,,,,

