"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","ag","bg","cg","C1","C2","CV",
0.57619,-0.00086352,-0.23768,0.024127,-1.8272,6.2168,-0.62927,15.4464,2.5,,,,,,,,
0.57612,-0.000694,-0.23088,0.023428,-1.8038,6.0728,-0.61448,15.0888,2.6,,,,,,,,
0.57607,-0.00055776,-0.22441,0.022764,-1.7811,5.9361,-0.60045,14.7491,2.7,,,,,,,,
0.57602,-0.00044827,-0.21827,0.022134,-1.7589,5.8062,-0.58712,14.4263,2.8,,,,,,,,
0.57599,-0.00036027,-0.21243,0.021535,-1.7374,5.6825,-0.57443,14.1189,2.9,,,,,,,,
0.57596,-0.00028954,-0.20688,0.020965,-1.7164,5.5646,-0.56235,13.826,3,,,,,,,,
0.57594,-0.0002327,-0.20159,0.020423,-1.696,5.4521,-0.55083,13.5465,3.1,,,,,,,,
0.57592,-0.00018702,-0.19655,0.019907,-1.6761,5.3446,-0.53984,13.2795,3.2,,,,,,,,
0.5759,-0.00015031,-0.19175,0.019415,-1.6567,5.2419,-0.52932,13.0242,3.3,,,,,,,,
0.57589,-0.0001208,-0.18717,0.018946,-1.6377,5.1435,-0.51927,12.7797,3.4,,,,,,,,
0.57588,-9.7085e-05,-0.1828,0.018498,-1.6192,5.0492,-0.50964,12.5455,3.5,,,,,,,,
0.57587,-7.8027e-05,-0.17862,0.018071,-1.6012,4.9588,-0.5004,12.3208,3.6,,,,,,,,
0.57587,-6.2709e-05,-0.17462,0.017662,-1.5835,4.872,-0.49154,12.1051,3.7,,,,,,,,
0.57586,-5.0399e-05,-0.17079,0.01727,-1.5662,4.7886,-0.48303,11.8979,3.8,,,,,,,,
0.57586,-4.0505e-05,-0.16713,0.016896,-1.5493,4.7083,-0.47485,11.6985,3.9,,,,,,,,
0.57585,-3.2553e-05,-0.16361,0.016537,-1.5328,4.6311,-0.46697,11.5067,4,,,,,,,,
0.57585,-2.6163e-05,-0.16024,0.016193,-1.5166,4.5567,-0.45939,11.3218,4.1,,,,,,,,
0.57585,-2.1027e-05,-0.157,0.015862,-1.5007,4.485,-0.45209,11.1437,4.2,,,,,,,,
0.57585,-1.6899e-05,-0.15389,0.015545,-1.4852,4.4158,-0.44504,10.9718,4.3,,,,,,,,
0.57585,-1.3581e-05,-0.1509,0.01524,-1.47,4.3491,-0.43824,10.8058,4.4,,,,,,,,
0.57584,-1.0915e-05,-0.14803,0.014947,-1.455,4.2845,-0.43168,10.6455,4.5,,,,,,,,
0.57584,-8.7725e-06,-0.14526,0.014664,-1.4403,4.2222,-0.42533,10.4906,4.6,,,,,,,,
0.57584,-7.0503e-06,-0.14259,0.014392,-1.426,4.1618,-0.4192,10.3407,4.7,,,,,,,,
0.57584,-5.6663e-06,-0.14002,0.01413,-1.4118,4.1034,-0.41326,10.1956,4.8,,,,,,,,
0.57584,-4.5539e-06,-0.13753,0.013878,-1.3979,4.0469,-0.40752,10.0551,4.9,,,,,,,,
0.57584,-3.6599e-06,-0.13514,0.013634,-1.3843,3.9921,-0.40195,9.9189,5,,,,,,,,

