"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","ag","bg","cg","C1","C2","CV",
9.7478,-9.5367,0.61719,-0.030859,-0.030859,1.0313,-0.10668,14.2846,-3,13.8505,"0.41","1.05","0.18","0.7","1.0616","0.659382",
8.7941,-9.5367,0.71184,-0.066452,-0.097311,1.1022,-0.10668,15.2661,-2.9,,,,,,,,
7.9355,-8.5862,0.6974,-0.070462,-0.16777,1.1827,-0.11424,16.3806,-2.8,,,,,,,,
7.1625,-7.7303,0.68212,-0.068976,-0.23675,1.2671,-0.12249,17.5503,-2.7,,,,,,,,
6.4665,-6.9598,0.66595,-0.067404,-0.30415,1.3555,-0.13113,18.7741,-2.6,,,,,,,,
5.8399,-6.2661,0.64885,-0.06574,-0.36989,1.4476,-0.14015,20.0498,-2.5,,,,,,,,
5.2757,-5.6415,0.63074,-0.063979,-0.43387,1.5432,-0.14954,21.3745,-2.4,,,,,,,,
4.7678,-5.0792,0.61157,-0.062116,-0.49599,1.6421,-0.15927,22.7442,-2.3,,,,,,,,
4.3105,-4.5729,0.59129,-0.060143,-0.55613,1.7439,-0.1693,24.1541,-2.2,,,,,,,,
3.8988,-4.1171,0.56983,-0.058056,-0.61419,1.8482,-0.1796,25.5979,-2.1,,,,,,,,
3.5281,-3.7067,0.54714,-0.055849,-0.67004,1.9543,-0.19012,27.0682,-2,,,,,,,,
3.1944,-3.3373,0.52313,-0.053513,-0.72355,2.0617,-0.2008,28.5562,-1.9,,,,,,,,
2.8939,-3.0046,0.49777,-0.051045,-0.77459,2.1697,-0.21157,30.0517,-1.8,,,,,,,,
2.6234,-2.7051,0.47099,-0.048438,-0.82303,2.2774,-0.22236,31.5432,-1.7,,,,,,,,
2.3799,-2.4355,0.44272,-0.045685,-0.86872,2.3839,-0.23306,33.0177,-1.6,,,,,,,,
2.1606,-2.1927,0.41294,-0.042783,-0.9115,2.4881,-0.2436,34.4609,-1.5,,,,,,,,
1.9632,-1.9742,0.38158,-0.039726,-0.95123,2.5889,-0.25385,35.8575,-1.4,,,,,,,,
1.7854,-1.7774,0.34863,-0.036511,-0.98774,2.6852,-0.2637,37.1908,-1.3,,,,,,,,
1.6254,-1.6002,0.31407,-0.033135,-1.0209,2.7756,-0.27304,38.4438,-1.2,,,,,,,,
1.4813,-1.4407,0.27791,-0.029599,-1.0505,2.859,-0.28173,39.5987,-1.1,,,,,,,,
1.3516,-1.2971,0.24021,-0.025906,-1.0764,2.934,-0.28965,40.638,-1,,,,,,,,
1.2349,-1.1678,0.20118,-0.02207,-1.0984,2.9995,-0.29668,41.5448,-0.9,,,,,,,,
1.1297,-1.0514,0.16157,-0.018137,-1.1166,3.0544,-0.3027,42.3052,-0.8,,,,,,,,
1.035,-0.94663,0.1293,-0.014543,-1.1311,3.0992,-0.30768,42.9249,-0.7,,,,,,,,
0.94982,-0.85227,0.059251,-0.0094276,-1.1406,3.1285,-0.31138,43.3315,-0.6,,,,,,,,
