"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","ag","bg","cg","C1","C2","CV",
0.48088,-2.2651e-05,-0.37805,0.038393,-3.5108,33.4745,-3.413,4.9274,2.5,,,,,,,,
0.48087,-1.6025e-05,-0.36699,0.037252,-3.4735,32.2504,-3.2862,4.7472,2.6,,,,,,,,
0.48087,-1.1337e-05,-0.35655,0.036177,-3.4374,31.1046,-3.1678,4.5786,2.7,,,,,,,,
0.48087,-8.0206e-06,-0.34668,0.035161,-3.4022,30.0299,-3.0567,4.4204,2.8,,,,,,,,
0.48087,-5.6743e-06,-0.33735,0.034202,-3.368,29.0202,-2.9525,4.2718,2.9,,,,,,,,
0.48087,-4.0144e-06,-0.3285,0.033293,-3.3347,28.0699,-2.8545,4.1319,3,,,,,,,,
0.48087,-2.84e-06,-0.32011,0.032431,-3.3023,27.1742,-2.7622,4,3.1,,,,,,,,
0.48087,-2.0092e-06,-0.31213,0.031612,-3.2707,26.3286,-2.6751,3.8756,3.2,,,,,,,,
0.48087,-1.4215e-06,-0.30454,0.030834,-3.2398,25.5292,-2.5929,3.7579,3.3,,,,,,,,
0.48087,-1.0056e-06,-0.29731,0.030093,-3.2097,24.7724,-2.5151,3.6465,3.4,,,,,,,,
0.48087,-7.1146e-07,-0.29042,0.029386,-3.1803,24.055,-2.4414,3.5409,3.5,,,,,,,,
0.48087,-5.0333e-07,-0.28384,0.028713,-3.1516,23.3742,-2.3715,3.4407,3.6,,,,,,,,
0.48087,-3.5609e-07,-0.27755,0.028069,-3.1236,22.7272,-2.3051,3.3454,3.7,,,,,,,,
0.48087,-2.5192e-07,-0.27153,0.027454,-3.0961,22.1117,-2.2419,3.2548,3.8,,,,,,,,
0.48087,-1.7823e-07,-0.26577,0.026865,-3.0692,21.5256,-2.1819,3.1686,3.9,,,,,,,,
0.48087,-1.2609e-07,-0.26024,0.0263,-3.0429,20.9669,-2.1246,3.0863,4,,,,,,,,
0.48087,-8.9205e-08,-0.25494,0.025759,-3.0172,20.4337,-2.07,3.0078,4.1,,,,,,,,
0.48087,-6.3109e-08,-0.24986,0.02524,-2.9919,19.9244,-2.0179,2.9329,4.2,,,,,,,,
0.48087,-4.4648e-08,-0.24497,0.024741,-2.9672,19.4375,-1.9681,2.8612,4.3,,,,,,,,
0.48087,-3.1587e-08,-0.24027,0.024262,-2.9429,18.9716,-1.9205,2.7926,4.4,,,,,,,,
0.48087,-2.2347e-08,-0.23575,0.023801,-2.9191,18.5253,-1.8748,2.7269,4.5,,,,,,,,
0.48087,-1.581e-08,-0.23139,0.023357,-2.8958,18.0977,-1.8312,2.664,4.6,,,,,,,,
0.48087,-1.1185e-08,-0.22719,0.022929,-2.8729,17.6874,-1.7893,2.6036,4.7,,,,,,,,
0.48087,-7.9128e-09,-0.22314,0.022517,-2.8503,17.2936,-1.7491,2.5456,4.8,,,,,,,,
0.48087,-5.5981e-09,-0.21924,0.022119,-2.8282,16.9153,-1.7104,2.4899,4.9,,,,,,,,
0.48087,-3.9604e-09,-0.21547,0.021735,-2.8065,16.5516,-1.6733,2.4364,5,,,,,,,,

