"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","ag","bg","cg","C1","C2","CV",
0.30162,-0.0080138,-0.78016,0.078899,-0.55237,1.7374,-0.18087,4.4857,2.5,,,,,,,,
0.30093,-0.0068673,-0.76279,0.077147,-0.47522,1.6084,-0.16729,4.1526,2.6,,,,,,,,
0.30034,-0.0058848,-0.74575,0.075427,-0.39979,1.4915,-0.15499,3.8509,2.7,,,,,,,,
0.29984,-0.0050429,-0.72909,0.073742,-0.32605,1.3855,-0.14385,3.5772,2.8,,,,,,,,
0.29941,-0.0043215,-0.71284,0.072097,-0.25395,1.2891,-0.13373,3.3283,2.9,,,,,,,,
0.29904,-0.0037032,-0.69704,0.070494,-0.18346,1.2014,-0.12452,3.1018,3,,,,,,,,
0.29872,-0.0031734,-0.68169,0.068936,-0.11452,1.1213,-0.11614,2.8952,3.1,,,,,,,,
0.29845,-0.0027194,-0.6668,0.067424,-0.047099,1.0482,-0.10848,2.7064,3.2,,,,,,,,
0.29822,-0.0023304,-0.65237,0.065958,0.018859,0.98132,-0.10148,2.5336,3.3,,,,,,,,
0.29802,-0.001997,-0.6384,0.064538,0.083398,0.91999,-0.095065,2.3753,3.4,,,,,,,,
0.29785,-0.0017113,-0.62489,0.063165,0.14656,0.86367,-0.089183,2.2299,3.5,,,,,,,,
0.2977,-0.0014664,-0.61183,0.061836,0.2084,0.81188,-0.083778,2.0962,3.6,,,,,,,,
0.29757,-0.0012566,-0.59921,0.060552,0.26895,0.76418,-0.078803,1.973,3.7,,,,,,,,
0.29747,-0.0010769,-0.58702,0.059312,0.32826,0.72017,-0.074218,1.8594,3.8,,,,,,,,
0.29737,-0.0009228,-0.57524,0.058113,0.38638,0.67952,-0.069984,1.7544,3.9,,,,,,,,
0.29729,-0.00079078,-0.56387,0.056955,0.44333,0.64189,-0.06607,1.6573,4,,,,,,,,
0.29723,-0.00067765,-0.55288,0.055837,0.49917,0.60704,-0.062446,1.5673,4.1,,,,,,,,
0.29717,-0.0005807,-0.54227,0.054757,0.55393,0.57469,-0.059086,1.4838,4.2,,,,,,,,
0.29712,-0.00049762,-0.53202,0.053714,0.60764,0.54463,-0.055966,1.4062,4.3,,,,,,,,
0.29708,-0.00042643,-0.52211,0.052706,0.66035,0.51667,-0.053065,1.334,4.4,,,,,,,,
0.29704,-0.00036542,-0.51254,0.051733,0.71208,0.49062,-0.050365,1.2667,4.5,,,,,,,,
0.29701,-0.00031314,-0.50329,0.050792,0.76287,0.46633,-0.047847,1.204,4.6,,,,,,,,
0.29698,-0.00026834,-0.49435,0.049882,0.81275,0.44364,-0.045498,1.1454,4.7,,,,,,,,
0.29696,-0.00022995,-0.48569,0.049002,0.86175,0.42242,-0.043303,1.0906,4.8,,,,,,,,
0.29694,-0.00019706,-0.47733,0.048151,0.90991,0.40256,-0.041249,1.0394,4.9,,,,,,,,
0.29692,-0.00016886,-0.46923,0.047328,0.95723,0.38395,-0.039326,0.99132,5,,,,,,,,

