"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","ag","bg","cg","C1","C2","CV",
0.099974,-0.011382,-2.3056,0.23185,3.3751,0.034214,-0.0038678,0.2491,2.8,,,,,,,,
0.098983,-0.0099102,-2.2774,0.22915,3.6043,0.027208,-0.0030711,0.19808,2.9,,,,,,,,
0.09812,-0.0086287,-2.2469,0.22621,3.8305,0.021699,-0.0024453,0.15798,3,,,,,,,,
0.097369,-0.007513,-2.2149,0.22309,4.0536,0.01736,-0.001953,0.12639,3.1,,,,,,,,
0.096715,-0.0065416,-2.1816,0.21982,4.2734,0.013934,-0.0015647,0.10145,3.2,,,,,,,,
0.096145,-0.0056957,-2.1474,0.21645,4.4898,0.011222,-0.0012578,0.081705,3.3,,,,,,,,
0.095649,-0.0049592,-2.1126,0.213,4.7028,0.0090695,-0.0010146,0.06603,3.4,,,,,,,,
0.095218,-0.004318,-2.0776,0.20951,4.9124,0.0073552,-0.00082123,0.053549,3.5,,,,,,,,
0.094842,-0.0037597,-2.0424,0.206,5.1183,0.0059859,-0.00066705,0.04358,3.6,,,,,,,,
0.094514,-0.0032735,-2.0073,0.20248,5.3208,0.0048887,-0.00054373,0.035592,3.7,,,,,,,,
0.094229,-0.0028502,-1.9725,0.19899,5.5198,0.0040066,-0.00044476,0.02917,3.8,,,,,,,,
0.093981,-0.0024817,-1.938,0.19552,5.7153,0.003295,-0.00036508,0.023989,3.9,,,,,,,,
0.093765,-0.0021608,-1.904,0.1921,5.9074,0.0027191,-0.00030071,0.019797,4,,,,,,,,
0.093577,-0.0018814,-1.8705,0.18872,6.0962,0.0022515,-0.00024853,0.016392,4.1,,,,,,,,
0.093413,-0.0016381,-1.8377,0.18541,6.2816,0.0018705,-0.0002061,0.013618,4.2,,,,,,,,
0.09327,-0.0014263,-1.8055,0.18216,6.4637,0.001559,-0.00017147,0.01135,4.3,,,,,,,,
0.093146,-0.0012419,-1.774,0.17898,6.6427,0.0013035,-0.00014312,0.00949,4.4,,,,,,,,
0.093038,-0.0010813,-1.7433,0.17586,6.8186,0.0010933,-0.00011984,0.0079596,4.5,,,,,,,,
0.092944,-0.00094149,-1.7132,0.17283,6.9914,0.00091976,-0.00010065,0.0066963,4.6,,,,,,,,
0.092862,-0.00081975,-1.684,0.16986,7.1613,0.00077608,-8.4792e-05,0.0056502,4.7,,,,,,,,
0.092791,-0.00071375,-1.6554,0.16697,7.3282,0.00065674,-7.1641e-05,0.0047813,4.8,,,,,,,,
0.092728,-0.00062146,-1.6277,0.16416,7.4924,0.00055731,-6.0702e-05,0.0040575,4.9,,,,,,,,
0.092674,-0.00054111,-1.6006,0.16142,7.6538,0.00047424,-5.1578e-05,0.0034527,5,,,,,,,,

