"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","residuals","resnorm","ag","bg","cg","mean","stdev","field_x","field_y","C1","C2","CV",
417.873,-424.0458,0.83528,-0.20882,-0.20882,1.2322,0.9121,0.00054634,-5,0.00059899,0.00054634,0.0026901,"0.350954","1.41642","0.0733562",53.9,37.184,-5,0,"0.7","1.25157","0.559297",
205.8501,-424.0458,1.8582,-0.67337,-0.88219,2.4162,0.9121,0.00054634,-4.5,,0.00054634,,,,,52.8447,30.6798,-4.5,0,,,,
101.4235,-208.8531,1.8293,-0.92187,-1.8041,6.0743,2.1226,0.0012714,-4,,0.0012714,,,,,44.8,29.1061,-4,0,,,,
49.9908,-102.8654,1.7914,-0.90518,-2.7092,15.0179,5.273,0.0031585,-3.5,,0.0031585,,,,,46.852,30.5907,-3.5,0,,,,
24.659,-50.6638,1.7405,-0.88298,-3.5922,36.3145,12.8331,0.0076869,-3,,0.0076869,,,,,54.57,30.8154,-3,0,,,,
12.1824,-24.9532,1.6704,-0.85272,-4.4449,85.1945,30.3773,0.018196,-2.5,,0.018196,,,,,48.8905,29.7554,-2.5,0,,,,
6.0373,-12.2901,1.5729,-0.81083,-5.2558,191.6691,69.2159,0.041459,-2,,0.017519,,,,,50.264,30.3273,-2,0.023941,,,,
3.0108,-6.0532,1.4432,-0.75405,-6.0098,407.409,149.7695,0.08971,-1.5,,-0.039203,,,,,51.56,28.9898,-1.5,0.12891,,,,
1.5201,-2.9813,1.3409,-0.69605,-6.7059,817.1848,306.1485,0.18338,-1,,0.0058481,,,,,50.3976,27.9125,-1,0.17753,,,,
0.78592,-1.4684,-1.8021,0.11528,-6.5906,728.2045,386.3473,0.23142,-0.5,,0.0085826,,,,,45.005,27.0573,-0.5,0.22284,,,,
0.42431,-0.72321,-0.23379,0.50897,-6.0816,437.7353,291.485,0.1746,0,,-0.013248,,,,,56.385,29.8429,0,0.18785,,,,
0.24621,-0.3562,-0.86252,0.27408,-5.8075,332.7981,192.6334,0.11538,0.5,,0.00083692,,,,,58.328,34.6156,0.5,0.11455,,,,
0.15849,-0.17544,-1.6137,0.61906,-5.1885,179.1958,127.9985,0.076669,1,,0.0066884,,,,,50.84,27.0069,1,0.069982,,,,
0.11529,-0.086407,-2.228,0.96042,-4.2281,68.584,61.9449,0.037104,1.5,,0.002482,,,,,52.7114,29.3529,1.5,0.034622,,,,
0.094008,-0.042558,-2.556,1.196,-3.0321,20.7399,22.331,0.013376,2,,-0.0083551,,,,,54.135,27.8936,2,0.021731,,,,
0.083528,-0.020961,-2.6146,1.2927,-1.7394,5.6939,6.6085,0.0039584,2.5,,-0.0019348,,,,,,,2.5,0.0058932,,,,
0.078366,-0.010324,-2.5083,1.2807,-0.45867,1.582,1.819,0.0010895,3,,-0.0048036,,,,,,,3,0.0058932,,,,
0.075824,-0.0050847,-2.332,1.2101,0.75141,0.4717,0.51342,0.00030753,3.5,,-0.0019024,,,,,,,3.5,0.0022099,,,,
0.074571,-0.0025043,-2.1412,1.1183,1.8697,0.15417,0.15647,9.3722e-05,4,,-0.0028529,,,,,,,4,0.0029466,,,,
0.073955,-0.0012334,-1.9608,1.0255,2.8952,0.055286,0.052363,3.1365e-05,4.5,,-0.00070528,,,,,,,4.5,0.00073665,,,,
0.073651,-0.0006075,-1.7994,0.94007,3.8353,0.021595,0.01922,1.1513e-05,5,,-0.00035681,,,,,,,5,0.00036832,,,,
0.073501,-0.00029921,-1.6581,0.86438,4.6997,0.0090983,0.0076733,4.5962e-06,5.5,,,,,,,,,,,,,,
0.073428,-0.00014737,-1.5351,0.7983,5.498,0.0040951,0.0032983,1.9757e-06,6,,,,,,,,,,,,,,

